passID,timestamp,stationRef,vehicleRef,charge,hn,p
BJS5915448,2019-1-2 21:36:00,AO11,BZ76ROL87339,1.0,AO,home
ABE2129498,2019-1-2 21:47:17,AO14,BZ76ROL87339,1.0,AO,home
QYU5003410,2019-1-3 0:02:36,EG01,TE24LCO18661,1.25,EG,home
WPS5352347,2019-1-3 1:40:17,GF00,IO09FGE68100,2.8,GF,home
RDV6518451,2019-1-3 2:39:56,AO15,XE59BZM26378,2.8,EG,away
WNH6218760,2019-1-3 3:04:13,KO01,QW79CHL42244,2.8,KO,home
RRS9227725,2019-1-3 3:32:01,EG05,CM15YCB60994,2.0,EG,home
LJZ4625728,2019-1-3 3:41:35,KO09,QW79CHL42244,2.8,KO,home
VED8509398,2019-1-3 4:03:26,OO11,JF94VYA88954,2.8,OO,home
IAQ7370002,2019-1-3 4:19:50,NE00,QP02SYE47964,2.8,NE,home
KPT1084302,2019-1-3 6:06:34,KO01,IX01MVL33676,2.5,KO,home
CSJ9595952,2019-1-3 6:24:18,KO05,IZ65WAT29135,1.5,MR,away
AJB4007132,2019-1-3 6:51:02,AO18,MX39VOS38645,2.8,AO,home
IFJ1584058,2019-1-3 6:59:57,MR07,EZ65FLV39493,2.8,MR,home
IJN5312188,2019-1-3 8:35:09,KO03,FL13UMN92207,1.0,KO,home
UZI9045597,2019-1-3 8:43:26,NE01,PM58XHX45588,1.5,NE,home
DKI5609758,2019-1-3 9:23:10,GF00,CK97FAU13897,2.5,GF,home
BJL0155721,2019-1-3 9:23:50,MR04,KF48RSD79865,2.8,MR,home
YON4581505,2019-1-3 12:20:02,GF00,YX66XYW62640,3.1,GF,home
JZP9177875,2019-1-3 14:02:19,AO04,YL27IFD65117,2.0,AO,home
SSZ7103725,2019-1-3 14:43:40,MR00,HE38BQH01623,2.8,MR,home
FPU0425557,2019-1-3 15:44:50,KO05,WY00MLL63827,1.0,KO,home
MOS5853245,2019-1-3 16:51:44,KO05,IX01MVL33676,2.5,KO,home
EWR2508893,2019-1-3 16:58:43,AO12,DP11ENT03275,3.1,AO,home
FDO3407403,2019-1-3 17:39:51,KO08,QW79CHL42244,2.8,KO,home
DLQ8625471,2019-1-3 19:31:14,GF00,MP14WFM40909,2.8,GF,home
ZAG0725273,2019-1-3 19:34:31,EG07,EC02LZC49528,2.8,EG,home
RJN3440849,2019-1-3 20:37:16,NE12,EG95RTB75032,2.8,NE,home
BXR7588699,2019-1-3 21:13:38,OO05,EM54HQI58682,2.8,OO,home
JZF0586381,2019-1-3 22:03:24,EG01,TE24LCO18661,1.25,EG,home
AKJ5235405,2019-1-3 22:15:34,NE06,XV91YMP27722,1.5,MR,away
YSK8555815,2019-1-3 22:56:55,EG09,TV81MAQ99005,2.8,EG,home
VAS7777913,2019-1-3 23:10:55,KO05,QO77TFN61853,2.2,KO,home
OSB6924402,2019-1-3 23:11:51,OO01,WY00MLL63827,2.8,KO,away
IKP1014708,2019-1-3 23:28:32,AO02,PE73VJU23485,2.8,AO,home
NDS8480885,2019-1-4 0:41:50,NE07,PD45WOT56494,1.5,NE,home
IEP5322365,2019-1-4 0:46:18,AO05,YL27IFD65117,2.0,AO,home
LZU2500999,2019-1-4 1:37:11,NE09,FY47TUN40300,1.0,NE,home
FTO5959048,2019-1-4 2:32:19,NE07,NY14GZR94632,2.8,NE,home
PEO8978228,2019-1-4 2:38:40,GF00,PF04UCA93312,3.1,GF,home
IWZ6784211,2019-1-4 2:51:02,AO05,DV04FQL29609,3.1,AO,home
DOT0840926,2019-1-4 3:48:37,OO04,RK48BOP88344,2.8,OO,home
YIC2205567,2019-1-4 4:43:03,OO05,AT19HLV57173,2.8,OO,home
JYG0256462,2019-1-4 6:18:08,AO17,OC94ASJ72024,1.0,AO,home
FZS8692226,2019-1-4 8:01:00,KO05,ED51EWW52190,1.0,KO,home
ZIK8298699,2019-1-4 8:11:02,OO06,UA13YTK28483,2.5,MR,away
GBM5773955,2019-1-4 8:41:44,OO01,AT19HLV57173,2.8,OO,home
PLP9237083,2019-1-4 8:43:30,OO05,RK48BOP88344,2.8,OO,home
PSV9420885,2019-1-4 8:56:38,NE15,BI87HYL81972,2.2,MR,away
OQE5431179,2019-1-4 9:27:53,KO06,KB55KTM48860,2.5,KO,home
FRP9290882,2019-1-4 9:32:06,AO15,BZ76ROL87339,1.0,AO,home
VIG3313800,2019-1-4 15:15:27,KO06,IX01MVL33676,2.5,KO,home
BMV9911239,2019-1-4 15:27:30,GF00,BY85QGR11636,2.5,GF,home
BWS1548433,2019-1-4 16:03:42,EG07,TV81MAQ99005,2.8,EG,home
DPC4921911,2019-1-4 16:38:01,MR06,UA13YTK28483,2.8,MR,home
FAD4262737,2019-1-4 16:52:02,AO08,DV04FQL29609,3.1,AO,home
BOS5722123,2019-1-4 17:39:14,MR05,QO68DIC93032,2.5,MR,home
BIP4596977,2019-1-4 17:45:30,MR00,HE38BQH01623,2.8,MR,home
IZU3260044,2019-1-4 18:05:15,MR03,HR53SRO94328,13.0,MR,home
IOI0658573,2019-1-4 19:07:07,OO02,PD45WOT56494,2.0,NE,away
ELI0385232,2019-1-4 21:05:28,MR08,HE38BQH01623,2.8,MR,home
SCB3162252,2019-1-4 21:05:48,OO05,VJ92OYV94295,2.5,OO,home
XRB7777819,2019-1-4 21:25:53,KO08,AY38OQF67603,1.5,OO,away
VNX6112928,2019-1-4 21:30:49,OO02,XV40HUQ04740,1.0,OO,home
JBK7975831,2019-1-4 22:14:33,OO01,XV40HUQ04740,1.0,OO,home
UZV6669660,2019-1-4 22:41:17,NE14,FY47TUN40300,1.0,NE,home
AST1565987,2019-1-4 23:41:10,NE00,QU94IGC75528,2.8,EG,away
EPU9167801,2019-1-5 2:09:42,MR05,QN23UHH39091,2.8,MR,home
UME6300154,2019-1-5 3:12:00,NE14,OY94SZK34436,2.5,NE,home
IZL8111210,2019-1-5 3:29:35,KO05,MQ65WJJ60020,1.25,KO,home
TYT3955033,2019-1-5 3:58:41,AO08,VL67TFO75321,2.8,EG,away
WHI1664349,2019-1-5 5:13:28,NE13,QP02SYE47964,2.8,NE,home
XSE8654212,2019-1-5 6:11:45,NE15,JV67MTI17124,2.5,NE,home
TXL5895242,2019-1-5 6:41:14,KO05,QO77TFN61853,2.2,KO,home
LJC9157282,2019-1-5 8:15:30,KO03,JO50FSF60755,2.2,KO,home
HJW5583166,2019-1-5 9:36:10,MR05,BI87HYL81972,1.0,MR,home
OIV5602818,2019-1-5 10:01:17,MR02,UA13YTK28483,2.8,MR,home
DKX6181104,2019-1-5 11:20:48,NE00,EM54HQI58682,3.1,OO,away
TGM8606494,2019-1-5 11:22:22,EG07,IW53OQE31439,2.8,EG,home
UIC7940896,2019-1-5 11:28:50,EG12,TE24LCO18661,1.25,EG,home
PZP9995637,2019-1-5 18:12:40,MR08,KF48RSD79865,2.8,MR,home
HOA0727154,2019-1-5 19:13:41,MR03,KF48RSD79865,2.8,MR,home
KTK8951799,2019-1-5 20:21:34,GF00,PF04UCA93312,3.1,GF,home
UWV9537409,2019-1-5 21:22:10,AO01,DP11ENT03275,3.1,AO,home
GYR0258541,2019-1-5 22:43:37,AO13,RR73DWB65452,2.8,AO,home
SDQ5556853,2019-1-5 23:45:13,NE03,QP02SYE47964,2.8,NE,home
UDF1325536,2019-1-5 23:57:16,OO01,AY38OQF67603,2.8,OO,home
NQV7199789,2019-1-6 0:22:14,EG10,CM15YCB60994,2.0,EG,home
INA0533953,2019-1-6 0:50:10,NE05,VX68BAR38623,1.5,NE,home
AZT9656066,2019-1-6 1:25:53,OO05,JF94VYA88954,2.8,OO,home
IUO2143413,2019-1-6 2:49:58,MR07,RR98KQE80731,1.25,MR,home
UXT7394943,2019-1-6 2:58:38,EG06,EC02LZC49528,2.8,EG,home
LJW9984906,2019-1-6 3:17:37,GF00,MP14WFM40909,2.8,GF,home
TPR4294291,2019-1-6 3:35:43,NE15,EG95RTB75032,2.8,NE,home
ULN8974546,2019-1-6 3:48:41,AO12,HT62RDI04611,2.8,AO,home
QZK4342840,2019-1-6 3:55:09,MR02,QH15HWX24570,3.1,MR,home
XWI7097584,2019-1-6 5:33:26,GF00,YX66XYW62640,3.1,GF,home
MXM6404031,2019-1-6 7:06:45,AO14,YL27IFD65117,2.0,AO,home
YJU8743734,2019-1-6 7:31:26,EG12,EC02LZC49528,2.8,EG,home
SUH5952969,2019-1-6 9:34:39,NE07,QR03XCJ37459,1.5,OO,away
WOJ6728265,2019-1-6 11:37:28,MR05,RR98KQE80731,1.25,MR,home
PAV5608102,2019-1-6 11:37:56,NE08,EG95RTB75032,2.8,NE,home
CFO6913267,2019-1-6 11:39:08,OO08,LC72NRN52084,1.25,OO,home
PAL2525981,2019-1-6 12:12:26,OO03,IC95TLY24827,2.0,OO,home
RCF4544449,2019-1-6 12:43:46,KO00,WY00MLL63827,1.0,KO,home
PVJ3943516,2019-1-6 12:54:19,AO15,XE59BZM26378,2.8,EG,away
IRX8848859,2019-1-6 12:57:40,AO08,RR73DWB65452,2.8,AO,home
MCD5475060,2019-1-6 13:13:49,KO08,MQ65WJJ60020,1.25,KO,home
PFW8615887,2019-1-6 14:19:26,OO09,RK48BOP88344,2.8,OO,home
ASW3119652,2019-1-6 15:33:04,MR06,UA13YTK28483,2.8,MR,home
VQA8895237,2019-1-6 15:57:49,NE16,IA29IQS63679,1.0,NE,home
NHL4953806,2019-1-6 16:44:56,OO13,LG64ARC91224,1.5,AO,away
MAK0971449,2019-1-6 16:47:44,KO07,FY47TUN40300,2.8,NE,away
JFR2402578,2019-1-6 17:25:32,GF00,SL09NOT64494,2.5,GF,home
YYP0773445,2019-1-6 18:29:01,EG00,TZ48CCW54765,3.1,EG,home
LIV9253695,2019-1-6 19:23:47,OO03,XV40HUQ04740,1.0,OO,home
CCS6814108,2019-1-6 21:36:03,NE06,NY14GZR94632,2.8,NE,home
KOC7962766,2019-1-6 23:08:16,GF00,MA30QLI76818,2.5,GF,home
DOZ1453528,2019-1-6 23:08:29,GF00,BY85QGR11636,2.5,GF,home
PFR7735501,2019-1-6 23:50:25,NE08,OY94SZK34436,1.0,NE,home
RVF1714057,2019-1-6 23:54:56,GF00,BY85QGR11636,2.5,GF,home
QJM2827051,2019-1-7 0:07:29,KO06,JO50FSF60755,2.2,KO,home
HNU5135879,2019-1-7 0:26:29,MR07,UA13YTK28483,2.8,MR,home
NUF0316968,2019-1-7 0:57:19,GF00,BY85QGR11636,2.5,GF,home
MFM7697504,2019-1-7 1:12:40,OO09,YX66XYW62640,1.0,GF,away
RRF5482950,2019-1-7 1:34:18,KO09,IX01MVL33676,2.5,KO,home
RCS4635589,2019-1-7 1:35:42,MR07,HE38BQH01623,2.8,MR,home
LZJ2868612,2019-1-7 2:19:22,NE12,QP02SYE47964,2.8,NE,home
HPB9107400,2019-1-7 2:53:29,GF00,PF04UCA93312,3.1,GF,home
KMK0226092,2019-1-7 3:36:28,OO07,JO50FSF60755,2.0,KO,away
NRK5104296,2019-1-7 5:02:07,MR02,UF84JOS00561,3.1,GF,away
RBK8060006,2019-1-7 5:27:05,AO05,YL27IFD65117,2.0,AO,home
AUU6469015,2019-1-7 6:24:36,AO13,EM54HQI58682,2.8,OO,away
IQN6203368,2019-1-7 8:48:25,EG06,SL09NOT64494,2.2,GF,away
VXK5719170,2019-1-7 8:59:33,EG05,EC02LZC49528,2.8,EG,home
QRR8447934,2019-1-7 9:03:09,MR00,QO68DIC93032,2.5,MR,home
NXJ2283523,2019-1-7 10:21:32,NE02,FY47TUN40300,1.0,NE,home
BPA2075644,2019-1-7 11:55:26,KO07,FL13UMN92207,1.0,KO,home
GIQ5227984,2019-1-7 12:10:20,NE02,AT19HLV57173,2.0,OO,away
QMM0347109,2019-1-7 12:11:43,OO12,BI87HYL81972,2.5,MR,away
NBS8149331,2019-1-7 12:23:01,OO10,QX75YWC61835,2.5,OO,home
WXO4856567,2019-1-7 14:15:16,EG10,EV77EDV52985,1.25,NE,away
DSB0448624,2019-1-7 15:22:36,GF00,UF84JOS00561,2.8,GF,home
REY3108814,2019-1-7 15:38:27,NE16,IA29IQS63679,1.0,NE,home
LAO6168976,2019-1-7 15:53:34,OO05,DP11ENT03275,1.0,AO,away
UQR3278904,2019-1-7 16:05:57,AO13,EV77EDV52985,2.8,NE,away
DPZ9842551,2019-1-7 16:28:28,NE13,EG95RTB75032,2.8,NE,home
HCX4122632,2019-1-7 18:13:54,AO04,PE73VJU23485,2.8,AO,home
ARH1581655,2019-1-7 18:27:49,KO01,WY00MLL63827,1.0,KO,home
HTD0281631,2019-1-7 19:53:52,AO08,RK48BOP88344,2.8,OO,away
IWR8131559,2019-1-7 20:03:22,OO05,RK48BOP88344,2.8,OO,home
XQT9913725,2019-1-7 21:39:27,AO12,LG64ARC91224,13.0,AO,home
FDG4220162,2019-1-7 22:40:29,EG10,CM15YCB60994,2.0,EG,home
SYA7107074,2019-1-7 23:04:34,EG07,CR31GMR97972,1.5,EG,home
EGU0149427,2019-1-7 23:39:52,NE00,OY94SZK34436,2.5,NE,home
OXK0045085,2019-1-7 23:40:16,KO03,KB55KTM48860,2.5,KO,home
UTD5120164,2019-1-8 0:24:12,OO04,AT19HLV57173,2.8,OO,home
UBP7692482,2019-1-8 1:47:32,OO07,TV81MAQ99005,3.1,EG,away
YQF2255735,2019-1-8 1:55:18,GF00,QN12NTR81378,2.8,GF,home
TBW5744223,2019-1-8 3:13:34,MR06,QO68DIC93032,2.5,MR,home
OFS6376591,2019-1-8 3:18:10,EG02,RK48BOP88344,2.5,OO,away
FAE2281094,2019-1-8 5:38:33,OO04,SY96JDQ97089,2.0,AO,away
IIM9785176,2019-1-8 5:52:56,NE07,UP28MBM38391,1.0,NE,home
PHE1025027,2019-1-8 6:22:31,MR07,KF48RSD79865,2.8,MR,home
INQ8456777,2019-1-8 7:47:16,AO17,JD78PQD35395,2.8,EG,away
DUR6384757,2019-1-8 8:11:22,AO01,BM25PHF40639,13.0,AO,home
OZT5115958,2019-1-8 8:12:54,GF00,JE65QJK64802,2.8,GF,home
LMA8654820,2019-1-8 9:59:33,AO04,EC02LZC49528,2.8,EG,away
XTE9166677,2019-1-8 11:22:49,NE00,FY47TUN40300,1.0,NE,home
PPU9152797,2019-1-8 13:04:24,AO13,FL13UMN92207,2.8,KO,away
BRN7360799,2019-1-8 13:15:07,NE09,IA29IQS63679,1.0,NE,home
OLV1623583,2019-1-8 14:08:09,OO03,LC72NRN52084,3.1,OO,home
XVJ7652867,2019-1-8 14:18:20,GF00,CP56DAO45598,2.8,GF,home
UVE2297410,2019-1-8 15:42:16,EG02,BI87HYL81972,1.0,MR,away
LZP3584479,2019-1-8 15:52:45,NE13,QR03XCJ37459,1.5,OO,away
COH4374136,2019-1-8 15:53:38,NE01,PD45WOT56494,2.0,NE,home
EZI7123567,2019-1-8 16:14:53,MR04,LM86GYO69819,2.2,GF,away
HSO9832566,2019-1-8 16:25:21,AO08,LG64ARC91224,13.0,AO,home
GWX5926658,2019-1-8 17:14:28,GF00,PF04UCA93312,3.1,GF,home
PGX6872041,2019-1-8 17:34:52,EG01,JD78PQD35395,1.0,EG,home
EWR8013818,2019-1-8 17:52:10,NE08,ZY93PCY41868,1.25,KO,away
AJJ7574694,2019-1-8 18:02:22,OO02,HE38BQH01623,1.5,MR,away
BAM0767909,2019-1-8 18:49:30,AO09,BM25PHF40639,13.0,AO,home
ZTV2947809,2019-1-8 18:51:10,AO05,DP11ENT03275,3.1,AO,home
MDB4040741,2019-1-8 19:31:51,OO00,PD45WOT56494,1.5,NE,away
CSG3318300,2019-1-8 21:22:02,MR03,IZ65WAT29135,2.0,MR,home
NHM3675844,2019-1-8 21:30:18,NE05,QO68DIC93032,3.1,MR,away
DPB6551839,2019-1-8 21:42:28,KO02,KB55KTM48860,2.5,KO,home
YZI2644272,2019-1-8 22:06:59,KO06,WY00MLL63827,1.0,KO,home
DZH0114567,2019-1-8 23:17:47,AO06,OC94ASJ72024,1.0,AO,home
WJX5646477,2019-1-9 0:43:24,EG02,EC02LZC49528,2.8,EG,home
GTQ0716183,2019-1-9 0:52:26,GF00,PF04UCA93312,3.1,GF,home
DIM4006595,2019-1-9 1:58:48,OO02,IC95TLY24827,2.0,OO,home
FMX7447301,2019-1-9 2:01:31,KO08,ED51EWW52190,2.8,KO,home
CCT1120986,2019-1-9 2:12:31,KO09,ED51EWW52190,2.8,KO,home
UBU3174102,2019-1-9 3:38:53,OO01,IC95TLY24827,2.0,OO,home
PEJ6840364,2019-1-9 4:16:36,AO06,PE73VJU23485,2.8,AO,home
POM1873220,2019-1-9 4:31:40,EG08,XE59BZM26378,2.5,EG,home
UNO6659001,2019-1-9 5:10:53,GF00,PF04UCA93312,3.1,GF,home
JIK3844618,2019-1-9 6:34:28,EG02,EC02LZC49528,2.8,EG,home
KLN6484024,2019-1-9 7:14:35,KO01,QO77TFN61853,2.2,KO,home
ZHC1977550,2019-1-9 7:37:06,GF00,PF04UCA93312,3.1,GF,home
FKV7904848,2019-1-9 7:52:34,EG05,JD78PQD35395,1.0,EG,home
NFI8367808,2019-1-9 7:57:48,KO00,IX01MVL33676,2.5,KO,home
LFH0315629,2019-1-9 8:05:30,GF00,WU78BMX13511,1.0,GF,home
XKS4664614,2019-1-9 8:19:43,NE07,VX68BAR38623,1.5,NE,home
UMF7695471,2019-1-9 8:36:35,EG04,CM15YCB60994,2.0,EG,home
SJT4290133,2019-1-9 8:45:50,KO05,QW79CHL42244,2.8,KO,home
ZQV5105168,2019-1-9 9:47:21,GF00,MA30QLI76818,2.5,GF,home
WIU6615713,2019-1-9 9:48:55,NE11,XF28DGK65250,1.0,GF,away
FBN9889844,2019-1-9 9:59:05,KO08,QO77TFN61853,2.2,KO,home
FBN6685344,2019-1-9 10:39:31,GF00,CK97FAU13897,2.5,GF,home
DBF9508600,2019-1-9 11:20:17,NE07,WY00MLL63827,2.0,KO,away
YYN5607187,2019-1-9 13:44:43,MR02,UA13YTK28483,2.8,MR,home
KJW8914761,2019-1-9 13:49:54,MR07,EZ65FLV39493,2.8,MR,home
HKH2373332,2019-1-9 15:03:43,OO06,AT19HLV57173,2.8,OO,home
BYG4248451,2019-1-9 15:41:28,OO01,JF94VYA88954,2.8,OO,home
FNP4393498,2019-1-9 20:59:48,MR06,EC02LZC49528,2.5,EG,away
JKT6128724,2019-1-9 21:17:14,EG12,QU94IGC75528,1.25,EG,home
EGL5422048,2019-1-9 22:18:58,OO13,IC95TLY24827,2.0,OO,home
LRM3194355,2019-1-9 22:30:08,EG10,EC02LZC49528,2.8,EG,home
ORT5368959,2019-1-9 22:42:40,OO13,YX66XYW62640,2.5,GF,away
CZL7820317,2019-1-9 23:32:41,OO09,QR03XCJ37459,2.8,OO,home
HZU4853745,2019-1-9 23:33:53,MR00,UA13YTK28483,2.8,MR,home
CYJ1240238,2019-1-10 0:17:15,EG00,DW44ZOO26361,2.5,EG,home
FOM5485924,2019-1-10 3:24:46,KO07,KB55KTM48860,2.5,KO,home
FHO5663132,2019-1-10 4:51:38,OO01,AT19HLV57173,2.8,OO,home
OMN5141808,2019-1-10 5:42:14,OO06,RK48BOP88344,2.8,OO,home
YMO5978142,2019-1-10 6:12:59,MR08,KF48RSD79865,2.8,MR,home
QJP5702056,2019-1-10 6:24:27,KO01,KB55KTM48860,2.5,KO,home
TOH4508765,2019-1-10 6:28:39,AO19,CR31GMR97972,2.8,EG,away
VNK5211146,2019-1-10 7:06:07,EG01,TE24LCO18661,1.25,EG,home
RNX5573794,2019-1-10 9:47:06,AO08,QW79CHL42244,2.8,KO,away
VXO5341372,2019-1-10 9:57:09,NE00,NY14GZR94632,2.8,NE,home
RCB0419705,2019-1-10 10:50:39,AO02,BZ76ROL87339,2.8,AO,home
XFL2376961,2019-1-10 11:31:26,NE03,RR73DWB65452,2.8,AO,away
NDO5553932,2019-1-10 13:16:04,EG06,EC02LZC49528,2.8,EG,home
XXG1012689,2019-1-10 14:13:17,KO04,KB55KTM48860,2.5,KO,home
BUE8856354,2019-1-10 14:38:28,MR03,KF48RSD79865,2.8,MR,home
HOM4753925,2019-1-10 15:28:38,KO01,ED51EWW52190,2.8,KO,home
SEK9690966,2019-1-10 17:38:18,GF00,WU78BMX13511,1.0,GF,home
PBQ8194472,2019-1-10 18:06:31,KO00,MQ65WJJ60020,1.25,KO,home
RSL4446153,2019-1-10 18:22:06,OO01,AT19HLV57173,2.8,OO,home
ZLJ6963762,2019-1-10 20:52:36,KO02,MQ65WJJ60020,1.25,KO,home
RWG6921523,2019-1-10 20:58:41,AO10,LG64ARC91224,13.0,AO,home
ODH4025527,2019-1-10 21:25:02,EG12,QU94IGC75528,1.25,EG,home
LRO6012832,2019-1-10 22:33:34,MR07,MX39VOS38645,1.5,AO,away
OWN2040268,2019-1-10 22:51:05,AO10,BZ76ROL87339,1.0,AO,home
INB9199595,2019-1-11 0:02:00,NE03,PM58XHX45588,1.5,NE,home
EVM7404972,2019-1-11 0:03:54,AO09,OC94ASJ72024,1.0,AO,home
TVQ0671376,2019-1-11 0:55:21,KO05,IX01MVL33676,2.5,KO,home
LFV5670084,2019-1-11 1:15:21,MR06,KF48RSD79865,2.8,MR,home
RFX1371677,2019-1-11 1:41:17,OO03,WG11QVY31890,1.0,OO,home
UTL3484031,2019-1-11 2:11:55,GF00,WU78BMX13511,1.0,GF,home
NXL2041620,2019-1-11 2:30:48,MR03,QO68DIC93032,2.5,MR,home
ZNJ1049151,2019-1-11 2:37:12,MR04,IZ65WAT29135,1.25,MR,home
WOX8452591,2019-1-11 2:42:51,AO18,SY96JDQ97089,1.5,AO,home
CDB3019504,2019-1-11 2:47:53,MR01,MX39VOS38645,1.0,AO,away
KVZ2606955,2019-1-11 3:04:53,NE00,PM58XHX45588,1.5,NE,home
GYR4605539,2019-1-11 3:33:55,EG01,QU94IGC75528,1.25,EG,home
LQE3984015,2019-1-11 3:35:07,OO05,XV40HUQ04740,1.0,OO,home
KHP0306935,2019-1-11 4:09:00,NE07,FY47TUN40300,1.0,NE,home
PTS5311062,2019-1-11 5:36:28,OO06,RK48BOP88344,2.8,OO,home
FUI7993951,2019-1-11 6:09:47,KO02,IX01MVL33676,2.5,KO,home
FFQ7677778,2019-1-11 6:17:56,EG03,NZ35XLQ89678,3.1,NE,away
OBK1343175,2019-1-11 6:21:27,NE12,EG95RTB75032,2.8,NE,home
VPC7691320,2019-1-11 6:41:51,GF00,QN12NTR81378,2.8,GF,home
KRB0046906,2019-1-11 7:00:35,MR08,KF48RSD79865,2.8,MR,home
CFH4027363,2019-1-11 7:24:05,MR05,DV04FQL29609,1.0,AO,away
KYL4062666,2019-1-11 7:40:57,NE01,UP28MBM38391,1.0,NE,home
FRY5107918,2019-1-11 8:32:32,MR08,IZ65WAT29135,2.0,MR,home
KHF6369943,2019-1-11 8:37:20,EG07,TV81MAQ99005,2.8,EG,home
OHA0886547,2019-1-11 8:42:09,OO03,EE22TMX10817,2.0,OO,home
FAN1603090,2019-1-11 9:10:58,GF00,CP56DAO45598,2.8,GF,home
MAE2734230,2019-1-11 9:21:40,GF00,UF84JOS00561,2.8,GF,home
VAP1319169,2019-1-11 9:44:08,KO08,IX01MVL33676,2.5,KO,home
HEQ9650767,2019-1-11 11:18:39,OO06,QR03XCJ37459,2.8,OO,home
JYK8853857,2019-1-11 12:54:29,AO13,VX68BAR38623,2.8,NE,away
